date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:51	30054/30054	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jul%202022%2010:08:12%20GMT	https://bostamihtml.ibthemespro.com/aboutOne.html	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/aboutOne.html	(from )
11:37:52	2931/2931	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Aug%202022%2006:09:39%20GMT	https://bostamihtml.ibthemespro.com/robots.txt		(from )
11:37:52	610/610	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/logo/faveicon.jpg	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/logo/faveicon.jpg	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:53	100782/100782	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Jul%202022%2010:38:56%20GMT	https://bostamihtml.ibthemespro.com/assets/fontaswesome/css/all.min.css	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/assets/fontaswesome/css/all.min.css	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:53	80388/80388	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Jul%202022%2010:38:56%20GMT	https://bostamihtml.ibthemespro.com/assets/fontaswesome/css/fontawesome.min.css	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/assets/fontaswesome/css/fontawesome.min.css	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:54	1776/1776	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/css/vendor/slick.css	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/css/vendor/slick.css	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:54	65296/65296	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Jul%202022%2010:09:24%20GMT	https://bostamihtml.ibthemespro.com/css/tailwind.css	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/css/tailwind.css	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:55	6411/6411	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Jul%202022%2014:14:24%20GMT	https://bostamihtml.ibthemespro.com/css/custom.css	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/css/custom.css	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:55	5087/5087	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/logo/logo.png	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/logo/logo.png	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:55	13770/13770	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Aug%202022%2006:09:39%20GMT	https://bostamihtml.ibthemespro.com/	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/index.html	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:56	23473/23473	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jul%202022%2010:13:30%20GMT	https://bostamihtml.ibthemespro.com/resumeOne.html	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/resumeOne.html	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:56	70266/70266	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jul%202022%2010:13:24%20GMT	https://bostamihtml.ibthemespro.com/portfiloOne.html	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/portfiloOne.html	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:56	47087/47087	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jul%202022%2010:13:04%20GMT	https://bostamihtml.ibthemespro.com/blogOne.html	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/blogOne.html	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:57	18420/18420	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jul%202022%2010:13:14%20GMT	https://bostamihtml.ibthemespro.com/contactOne.html	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/contactOne.html	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:57	31066/31066	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/about/avatar.jpg	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/about/avatar.jpg	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:57	435/435	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/icons/dowanload.png	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/icons/dowanload.png	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:57	1463/1463	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/icons/icon.svg	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/icons/icon.svg	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:58	2992/2992	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/icons/icon1.svg	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/icons/icon1.svg	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:58	2719/2719	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/icons/icon2.svg	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/icons/icon2.svg	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:58	2881/2881	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/icons/icon3.svg	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/icons/icon3.svg	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:58	10153/10153	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/icons/icon4.svg	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/icons/icon4.svg	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:59	1679/1679	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/icons/icon5.svg	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/icons/icon5.svg	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:59	5041/5041	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/slider/brand.png	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/slider/brand.png	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:59	4420/4420	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/slider/brand1.png	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/slider/brand1.png	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:37:59	3923/3923	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/slider/brand2.png	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/slider/brand2.png	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
11:38:00	3836/3836	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/slider/brand3.png	C:/My%20Web%20Sites/one/bostamihtml.ibthemespro.com/images/slider/brand3.png	(from https://bostamihtml.ibthemespro.com/aboutOne.html)
